Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
Argentina,ARG,Gini index (World Bank estimate),SI.POV.GINI,48.6,46.7,46.6,45.3,44.1,44.5,42.7
Argentina,ARG,"Population, total",SP.POP.TOTL,38491972,39289878,39684295,40080160,40482788,40788453,41261490
Australia,AUS,Gini index (World Bank estimate),SI.POV.GINI,33.1,..,..,35.4,..,34.7,..
Australia,AUS,"Population, total",SP.POP.TOTL,20127400,20697900,20827600,21249200,21691700,22031750,22340024
Brazil,BRA,Gini index (World Bank estimate),SI.POV.GINI,56.5,55.6,54.9,54,53.7,..,52.9
Brazil,BRA,"Population, total",SP.POP.TOTL,184006481,188167356,190130443,192030362,193886508,195713635,197514534
China,CHN,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,43,..,43.7,42.4
China,CHN,"Population, total",SP.POP.TOTL,1296075000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000
France,FRA,Gini index (World Bank estimate),SI.POV.GINI,30.6,29.7,32.4,33,32.7,33.7,33.3
France,FRA,"Population, total",SP.POP.TOTL,62704895,63621381,64016225,64374984,64707040,65027507,65342780
Germany,DEU,Gini index (World Bank estimate),SI.POV.GINI,30.4,31.3,31.3,31.1,30.5,30.2,30.5
Germany,DEU,"Population, total",SP.POP.TOTL,82516260,82376451,82266372,82110097,81902307,81776930,80274983
India,IND,Gini index (World Bank estimate),SI.POV.GINI,34.4,..,..,..,35.4,..,35.7
India,IND,"Population, total",SP.POP.TOTL,1129623456,1165486291,1183209472,1200669765,1217726215,1234281170,1250288729
Indonesia,IDN,Gini index (World Bank estimate),SI.POV.GINI,32.7,34.3,35.7,35.2,35.1,36.4,39.7
Indonesia,IDN,"Population, total",SP.POP.TOTL,223285676,229318262,232374245,235469762,238620563,241834215,245116206
Italy,ITA,Gini index (World Bank estimate),SI.POV.GINI,34.3,33.7,32.9,33.8,33.8,34.7,35.1
Italy,ITA,"Population, total",SP.POP.TOTL,57685327,58143979,58438310,58826731,59095365,59277417,59379449
Japan,JPN,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,34.8,..,32.1,..
Japan,JPN,"Population, total",SP.POP.TOTL,127761000,127854000,128001000,128063000,128047000,128070000,127833000
"Korea, Rep.",KOR,Gini index (World Bank estimate),SI.POV.GINI,..,31.7,..,32.3,..,32,..
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,48082519,48438292,48683638,49054708,49307835,49554112,49936638
Mexico,MEX,Gini index (World Bank estimate),SI.POV.GINI,50,48.9,..,49.9,..,47.2,..
Mexico,MEX,"Population, total",SP.POP.TOTL,104514932,107560153,109170502,110815271,112463887,114092963,115695473
Netherlands,NLD,Gini index (World Bank estimate),SI.POV.GINI,29.8,30,29.6,29.3,27.9,27.8,27.8
Netherlands,NLD,"Population, total",SP.POP.TOTL,16281779,16346101,16381696,16445593,16530388,16615394,16693074
Russian Federation,RUS,Gini index (World Bank estimate),SI.POV.GINI,40.3,41,42.3,41.6,39.8,39.5,39.7
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144067316,143049637,142805114,142742366,142785349,142849468,142960908
Saudi Arabia,SAU,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,23132682,24498310,25184597,25888541,26630303,27421461,28267685
Spain,ESP,Gini index (World Bank estimate),SI.POV.GINI,33.3,33.5,34.1,34.2,34.9,35.2,35.7
Spain,ESP,"Population, total",SP.POP.TOTL,42921895,44397319,45226803,45954106,46362946,46576897,46742697
Switzerland,CHE,Gini index (World Bank estimate),SI.POV.GINI,..,33.9,34.3,33.8,32.9,32.6,31.7
Switzerland,CHE,"Population, total",SP.POP.TOTL,7389625,7483934,7551117,7647675,7743831,7824909,7912398
Turkey,TUR,Gini index (World Bank estimate),SI.POV.GINI,41.3,39.6,38.4,39,39,38.8,40
Turkey,TUR,"Population, total",SP.POP.TOTL,67010930,68756810,69581848,70418604,71321399,72326988,73443863
United Kingdom,GBR,Gini index (World Bank estimate),SI.POV.GINI,36,34.6,35.7,34.1,34.3,34.4,33.2
United Kingdom,GBR,"Population, total",SP.POP.TOTL,59987905,60846820,61322463,61806995,62276270,62766365,63258810
United States,USA,Gini index (World Bank estimate),SI.POV.GINI,40.3,..,40.8,..,..,40,..
United States,USA,"Population, total",SP.POP.TOTL,292805298,298379912,301231207,304093966,306771529,309321666,311556874
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 02/17/2021,,,,,,,,,,
